"5","8 39/40","6 79/80"
"8 39/40","12 19/20","10 77/80"
"12 19/20","16 37/40","14 15/16"
"16 37/40","20 9/10","18 73/80"
"20 9/10","24 7/8","22 71/80"
"24 7/8","28 17/20","26 69/80"
"28 17/20","32 33/40","30 67/80"
"32 33/40","36 4/5","34 13/16"
"36 4/5","40 31/40","38 63/80"
"40 31/40","44 3/4","42 61/80"
"44 3/4","48 29/40","46 59/80"
"48 29/40","52 7/10","50 57/80"
"52 7/10","56 27/40","54 11/16"
"56 27/40","60 13/20","58 53/80"
"60 13/20","64 5/8","62 51/80"
"64 5/8","68 3/5","66 49/80"
"68 3/5","72 23/40","70 47/80"
"72 23/40","76 11/20","74 9/16"
"76 11/20","80 21/40","78 43/80"
"80 21/40","84 1/2","82 41/80"
"84 1/2","88 19/40","86 39/80"
"88 19/40","92 9/20","90 37/80"
"92 9/20","96 17/40","94 7/16"
"96 17/40","100 2/5","98 33/80"
"100 2/5","104 3/8","102 31/80"
"104 3/8","108 7/20","106 29/80"
"108 7/20","112 13/40","110 27/80"
"112 13/40","116 3/10","114 5/16"
"116 3/10","120 11/40","118 23/80"
"120 11/40","124 1/4","122 21/80"
"124 1/4","128 9/40","126 19/80"
"128 9/40","132 1/5","130 17/80"
"132 1/5","136 7/40","134 3/16"
"136 7/40","140 3/20","138 13/80"
"140 3/20","144 1/8","142 11/80"
"144 1/8","148 1/10","146 9/80"
"148 1/10","152 3/40","150 7/80"
"152 3/40","156 1/20","154 1/16"
"156 1/20","160 1/40","158 3/80"
"160 1/40","164","162 1/80"
"164","167 39/40","165 79/80"
"167 39/40","171 19/20","169 77/80"
"171 19/20","175 37/40","173 15/16"
"175 37/40","179 9/10","177 73/80"
"179 9/10","183 7/8","181 71/80"
"183 7/8","187 17/20","185 69/80"
"187 17/20","191 33/40","189 67/80"
"191 33/40","195 4/5","193 13/16"
"195 4/5","199 31/40","197 63/80"
"199 31/40","203 3/4","201 61/80"
"203 3/4","207 29/40","205 59/80"
"207 29/40","211 7/10","209 57/80"
"211 7/10","215 27/40","213 11/16"
"215 27/40","219 13/20","217 53/80"
"219 13/20","223 5/8","221 51/80"
"223 5/8","227 3/5","225 49/80"
"227 3/5","231 23/40","229 47/80"
"231 23/40","235 11/20","233 9/16"
"235 11/20","239 21/40","237 43/80"
"239 21/40","243 1/2","241 41/80"
"243 1/2","247 19/40","245 39/80"
"247 19/40","251 9/20","249 37/80"
"251 9/20","255 17/40","253 7/16"
"255 17/40","259 2/5","257 33/80"
"259 2/5","263 3/8","261 31/80"
"263 3/8","267 7/20","265 29/80"
"267 7/20","271 13/40","269 27/80"
"271 13/40","275 3/10","273 5/16"
"275 3/10","279 11/40","277 23/80"
"279 11/40","283 1/4","281 21/80"
"283 1/4","287 9/40","285 19/80"
"287 9/40","291 1/5","289 17/80"
"291 1/5","295 7/40","293 3/16"
"295 7/40","299 3/20","297 13/80"
"299 3/20","303 1/8","301 11/80"
"303 1/8","307 1/10","305 9/80"
"307 1/10","311 3/40","309 7/80"
"311 3/40","315 1/20","313 1/16"
"315 1/20","319 1/40","317 3/80"
"319 1/40","323","321 1/80"
"323","326 39/40","324 79/80"
"326 39/40","330 19/20","328 77/80"
"330 19/20","334 37/40","332 15/16"
"334 37/40","338 9/10","336 73/80"
"338 9/10","342 7/8","340 71/80"
"342 7/8","346 17/20","344 69/80"
"346 17/20","350 33/40","348 67/80"
"350 33/40","354 4/5","352 13/16"
"354 4/5","358 31/40","356 63/80"
"358 31/40","362 3/4","360 61/80"
"362 3/4","366 29/40","364 59/80"
"366 29/40","370 7/10","368 57/80"
"370 7/10","374 27/40","372 11/16"
"374 27/40","378 13/20","376 53/80"
"378 13/20","382 5/8","380 51/80"
"382 5/8","386 3/5","384 49/80"
"386 3/5","390 23/40","388 47/80"
"390 23/40","394 11/20","392 9/16"
"394 11/20","398 21/40","396 43/80"
"398 21/40","402 1/2","400 41/80"
"402 1/2","406 19/40","404 39/80"
"406 19/40","410 9/20","408 37/80"
"410 9/20","414 17/40","412 7/16"
"414 17/40","418 2/5","416 33/80"
"418 2/5","422 3/8","420 31/80"
"422 3/8","426 7/20","424 29/80"
"426 7/20","430 13/40","428 27/80"
"430 13/40","434 3/10","432 5/16"
"434 3/10","438 11/40","436 23/80"
"438 11/40","442 1/4","440 21/80"
"442 1/4","446 9/40","444 19/80"
"446 9/40","450 1/5","448 17/80"
"450 1/5","454 7/40","452 3/16"
"454 7/40","458 3/20","456 13/80"
"458 3/20","462 1/8","460 11/80"
"462 1/8","466 1/10","464 9/80"
"466 1/10","470 3/40","468 7/80"
"470 3/40","474 1/20","472 1/16"
"474 1/20","478 1/40","476 3/80"
"478 1/40","482","480 1/80"
"482","485 39/40","483 79/80"
"485 39/40","489 19/20","487 77/80"
"489 19/20","493 37/40","491 15/16"
"493 37/40","497 9/10","495 73/80"
"497 9/10","501 7/8","499 71/80"
"501 7/8","505 17/20","503 69/80"
"505 17/20","509 33/40","507 67/80"
"509 33/40","513 4/5","511 13/16"
"513 4/5","517 31/40","515 63/80"
"517 31/40","521 3/4","519 61/80"
"521 3/4","525 29/40","523 59/80"
"525 29/40","529 7/10","527 57/80"
"529 7/10","533 27/40","531 11/16"
"533 27/40","537 13/20","535 53/80"
"537 13/20","541 5/8","539 51/80"
"541 5/8","545 3/5","543 49/80"
"545 3/5","549 23/40","547 47/80"
"549 23/40","553 11/20","551 9/16"
"553 11/20","557 21/40","555 43/80"
"557 21/40","561 1/2","559 41/80"
"561 1/2","565 19/40","563 39/80"
"565 19/40","569 9/20","567 37/80"
"569 9/20","573 17/40","571 7/16"
"573 17/40","577 2/5","575 33/80"
"577 2/5","581 3/8","579 31/80"
"581 3/8","585 7/20","583 29/80"
"585 7/20","589 13/40","587 27/80"
"589 13/40","593 3/10","591 5/16"
"593 3/10","597 11/40","595 23/80"
"597 11/40","601 1/4","599 21/80"
"601 1/4","605 9/40","603 19/80"
"605 9/40","609 1/5","607 17/80"
"609 1/5","613 7/40","611 3/16"
"613 7/40","617 3/20","615 13/80"
"617 3/20","621 1/8","619 11/80"
"621 1/8","625 1/10","623 9/80"
"625 1/10","629 3/40","627 7/80"
"629 3/40","633 1/20","631 1/16"
"633 1/20","637 1/40","635 3/80"
"637 1/40","641","639 1/80"
"641","644 39/40","642 79/80"
"644 39/40","648 19/20","646 77/80"
"648 19/20","652 37/40","650 15/16"
"652 37/40","656 9/10","654 73/80"
"656 9/10","660 7/8","658 71/80"
"660 7/8","664 17/20","662 69/80"
"664 17/20","668 33/40","666 67/80"
"668 33/40","672 4/5","670 13/16"
"672 4/5","676 31/40","674 63/80"
"676 31/40","680 3/4","678 61/80"
"680 3/4","684 29/40","682 59/80"
"684 29/40","688 7/10","686 57/80"
"688 7/10","692 27/40","690 11/16"
"692 27/40","696 13/20","694 53/80"
"696 13/20","700 5/8","698 51/80"
"700 5/8","704 3/5","702 49/80"
"704 3/5","708 23/40","706 47/80"
"708 23/40","712 11/20","710 9/16"
"712 11/20","716 21/40","714 43/80"
"716 21/40","720 1/2","718 41/80"
"720 1/2","724 19/40","722 39/80"
"724 19/40","728 9/20","726 37/80"
"728 9/20","732 17/40","730 7/16"
"732 17/40","736 2/5","734 33/80"
"736 2/5","740 3/8","738 31/80"
"740 3/8","744 7/20","742 29/80"
"744 7/20","748 13/40","746 27/80"
