vmin_mid,best_fit,lo68,hi68,lo95,hi95
5.653050000000000352e+01,7.949442438774831847e-31,7.701729388971154515e-31,1.337888327878936178e-28,7.604758083264263137e-31,2.696474747965065203e-28
5.732950000000001012e+01,7.949442438774830095e-31,7.701729388971152764e-31,3.167023232020842992e-29,7.509007728548451068e-31,6.469556678477534323e-29
5.892750000000000199e+01,7.949442438774830095e-31,7.701729388971152764e-31,7.505504735145335075e-30,7.509007728548451068e-31,1.350749009107721010e-29
6.052549999999999386e+01,7.949442438774831847e-31,7.701729388971154515e-31,3.031021474343462410e-30,7.509007728548452820e-31,5.360648685807390390e-30
6.372150000000000603e+01,7.949442438774865128e-31,7.701729388971187796e-31,1.311318029783899857e-30,7.509007728548484349e-31,1.777364398623669339e-30
6.851550000000000296e+01,7.949442438774865128e-31,7.701729388971187796e-31,9.080825474603497574e-31,7.509007728548484349e-31,1.057205834258328648e-30
7.570650000000000546e+01,7.949442438774863376e-31,7.701729388971184293e-31,8.205452093283038230e-31,7.509007728548482597e-31,8.523364665199014730e-31
8.769150000000000489e+01,7.744571511418505217e-31,7.408770269925371105e-31,8.095917825318798494e-31,7.315487568018723947e-31,8.303702766065264012e-31
1.068675000000000068e+02,7.300968246354096627e-31,7.163658881139771868e-31,7.927891762658020451e-31,7.073462339524370461e-31,8.028983474887458274e-31
1.372295000000000300e+02,7.300968246354101006e-31,6.639231106679814969e-31,7.441208148790263961e-31,6.473096518175360834e-31,7.536093964002838620e-31
1.859685000000000059e+02,6.816584143015724925e-31,0.000000000000000000e+00,7.401914301416980648e-31,0.000000000000000000e+00,7.401914301416980648e-31
