vmin_mid,best_fit,lo68,hi68,lo95,hi95
1.737950000000000017e+01,1.173172048612833367e-31,1.094220224597303803e-31,1.562884496773385416e-27,1.053406956655765528e-31,3.524854428828754096e-27
1.817849999999999966e+01,1.173172048612833586e-31,1.094220224597303803e-31,2.417239173772740857e-29,1.027047378496834174e-31,5.578376794924072213e-29
1.897749999999999915e+01,1.173172048612833586e-31,1.094220224597303803e-31,5.099274530573969749e-30,1.027047378496834174e-31,1.006001953382449177e-29
1.977649999999999864e+01,1.173172048612833586e-31,1.094220224597303803e-31,1.230692177403921629e-30,1.027047378496834174e-31,2.876341939918030700e-30
2.057549999999999812e+01,1.173172048612833586e-31,1.094220224597303803e-31,5.736057692966154324e-31,1.027047378496834174e-31,1.137018446229691008e-30
2.137450000000000117e+01,1.173172048612874312e-31,1.094220224597341901e-31,3.212529648696220629e-31,1.027047378496870083e-31,5.901793817151179067e-31
2.217350000000000065e+01,1.173172048612874093e-31,1.094220224597341901e-31,2.281760956907150533e-31,1.027047378496869864e-31,4.086968868221523419e-31
2.377150000000000318e+01,1.173172048612874093e-31,1.094220224597341901e-31,1.704922146687147779e-31,1.027047378496869864e-31,2.430996893637460492e-31
2.457050000000000267e+01,1.173172048612874312e-31,1.094220224597341901e-31,1.540571067745305124e-31,1.027047378496870083e-31,2.035843914078426741e-31
2.616850000000000165e+01,1.173172048612874312e-31,1.094220224597341901e-31,1.374535848280012290e-31,1.027047378496870083e-31,1.726662289487573013e-31
2.856550000000000367e+01,1.173172048612875187e-31,1.094220224597342777e-31,1.290154767652416788e-31,1.027047378496870740e-31,1.502021100695021031e-31
3.096249999999999858e+01,1.173172048612875187e-31,1.094220224597342777e-31,1.273910624802840516e-31,1.027047378496870740e-31,1.427790954976098933e-31
3.335950000000000415e+01,1.134583269264509024e-31,1.085388233769694687e-31,1.263628264176905140e-31,1.005930550858597667e-31,1.398434553186882599e-31
3.655549999999999500e+01,1.134583269264509024e-31,1.058228382773773889e-31,1.279741292542006035e-31,1.005930550858597667e-31,1.380827075993207698e-31
4.055049999999999955e+01,1.134583269264509024e-31,1.031748157264080248e-31,1.247718112506186098e-31,9.807589827288467899e-32,1.346274409520257848e-31
4.534450000000000358e+01,1.134583269264509243e-31,1.018757572822896637e-31,1.216496253851165984e-31,9.684103952446944910e-32,1.296059784563195392e-31
5.013850000000000051e+01,1.134583269264509024e-31,9.932650319808640641e-32,1.201179534168387187e-31,9.441777002334387147e-32,1.279741292542006035e-31
5.653050000000000352e+01,1.134583269264509024e-31,9.562172869511880740e-32,1.201179534168387187e-31,9.089608612481838216e-32,1.247718112506186098e-31
6.452049999999999841e+01,1.002712936845464623e-31,9.234572532793787764e-32,1.174819054765108270e-31,8.450780740692356263e-32,1.220336320966931815e-31
7.330949999999999989e+01,1.002712936845509728e-31,8.135575473113245876e-32,1.160027086369978286e-31,7.931997609689762971e-32,1.189799641453464117e-31
8.369650000000001455e+01,1.002712936845507538e-31,7.539996899355541004e-32,1.102698344703633541e-31,7.167368932744152858e-32,1.160027086369976096e-31
9.648050000000000637e+01,1.002712936845507538e-31,6.156381688529454951e-32,1.075105339911622983e-31,5.287998406459829573e-32,1.130999534903331151e-31
1.108625000000000114e+02,1.002712936845507538e-31,3.282852857365007802e-32,1.061568851764821451e-31,1.352233803107589874e-32,1.116759291431453752e-31
1.292395000000000209e+02,9.012786822261194730e-32,0.000000000000000000e+00,1.029550749038111582e-31,0.000000000000000000e+00,1.055974577194487460e-31
