vmin_mid,best_fit,lo68,hi68,lo95,hi95
5.394499999999999851e+00,7.626156720846927197e-20,7.578146829990147677e-20,7.674778804984841066e-20,7.578146829990147677e-20,7.674778804984841066e-20
6.193500000000000227e+00,7.626156720846927197e-20,7.578146829990147677e-20,7.674778804984841066e-20,7.578146829990147677e-20,7.674778804984841066e-20
6.992500000000000604e+00,1.678510364043973188e-20,1.667943429435950096e-20,1.689212041852902636e-20,1.667943429435950096e-20,1.689212041852902636e-20
7.791500000000000981e+00,7.304322538728271331e-25,7.258338730539745504e-25,7.350892704809131345e-25,7.258338730539745504e-25,7.350892704809131345e-25
8.590500000000000469e+00,7.304322538728271331e-25,7.258338730539745504e-25,7.350892704809131345e-25,7.258338730539745504e-25,7.350892704809131345e-25
1.018849999999999945e+01,5.251564673530393612e-25,5.218503846690277137e-25,5.285047072169551706e-25,5.218503846690277137e-25,5.285047072169551706e-25
1.098750000000000071e+01,7.580362351850559013e-33,7.532640755968280309e-33,7.628692464849682136e-33,7.532640755968280309e-33,7.628692464849682136e-33
1.258549999999999969e+01,7.580362351850560381e-33,7.532640755968280309e-33,7.628692464849682136e-33,7.532640755968280309e-33,7.628692464849682136e-33
1.418350000000000222e+01,7.580362351850560381e-33,7.532640755968280309e-33,7.628692464849682136e-33,7.532640755968280309e-33,7.628692464849682136e-33
1.658050000000000068e+01,7.580362351850560381e-33,7.532640755968280309e-33,7.628692464849682136e-33,7.532640755968280309e-33,7.628692464849682136e-33
1.977649999999999864e+01,7.580362351850563118e-33,7.532640755968283046e-33,7.628692464849684873e-33,7.532640755968283046e-33,7.628692464849684873e-33
2.297250000000000369e+01,7.580362351850564487e-33,7.532640755968285783e-33,7.628692464849687610e-33,7.532640755968285783e-33,7.628692464849687610e-33
2.696750000000000114e+01,7.580362351850564487e-33,7.532640755968285783e-33,7.628692464849687610e-33,7.532640755968285783e-33,7.628692464849687610e-33
3.176149999999999807e+01,7.580362351850564487e-33,7.532640755968285783e-33,7.628692464849687610e-33,7.532640755968285783e-33,7.628692464849687610e-33
3.735450000000000159e+01,7.580362351843479992e-33,7.532640755961245079e-33,7.628692464842557957e-33,7.532640755961245079e-33,7.628692464842557957e-33
4.454550000000000409e+01,7.580362351843479992e-33,7.532640755961245079e-33,7.628692464842557957e-33,7.532640755961245079e-33,7.628692464842557957e-33
5.333450000000000557e+01,7.580362351843479992e-33,7.532640755961245079e-33,7.628692464842557957e-33,7.532640755961245079e-33,7.628692464842557957e-33
6.452049999999999841e+01,7.580362351843477256e-33,7.532640755961242342e-33,7.628692464842555220e-33,7.532640755961242342e-33,7.628692464842555220e-33
7.730449999999999022e+01,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
9.328450000000000841e+01,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
1.124605000000000246e+02,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
1.364304999999999950e+02,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
1.651945000000000050e+02,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
1.995515000000000043e+02,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
2.426974999999999909e+02,7.580362351843485466e-33,7.532640755961250553e-33,7.628692464842563431e-33,7.532640755961250553e-33,7.628692464842563431e-33
