vmin_low,vmin_high,vmin_mid,flux
4.995000000000000107e+00,5.793999999999999595e+00,5.394499999999999851e+00,8.337042294750207232e-33
5.793999999999999595e+00,6.593000000000000860e+00,6.193500000000000227e+00,8.337042294750207232e-33
6.593000000000000860e+00,7.392000000000000348e+00,6.992500000000000604e+00,8.337042294750207232e-33
7.392000000000000348e+00,8.191000000000000725e+00,7.791500000000000981e+00,8.337042294750207232e-33
8.191000000000000725e+00,8.990000000000000213e+00,8.590500000000000469e+00,8.337042294750207232e-33
8.990000000000000213e+00,9.788999999999999702e+00,9.389499999999999957e+00,8.337042294750207232e-33
9.788999999999999702e+00,1.058799999999999919e+01,1.018849999999999945e+01,8.337042294750207232e-33
1.058799999999999919e+01,1.138700000000000045e+01,1.098750000000000071e+01,8.337042294750207232e-33
1.138700000000000045e+01,1.218600000000000172e+01,1.178650000000000020e+01,8.337042303024193173e-33
1.218600000000000172e+01,1.298499999999999943e+01,1.258549999999999969e+01,8.337042303024193173e-33
1.298499999999999943e+01,1.378400000000000070e+01,1.338449999999999918e+01,8.337042303024193173e-33
1.378400000000000070e+01,1.458300000000000196e+01,1.418350000000000222e+01,8.337042303024193173e-33
1.458300000000000196e+01,1.538200000000000145e+01,1.498250000000000171e+01,8.337042303024193173e-33
1.538200000000000145e+01,1.618100000000000094e+01,1.578150000000000119e+01,8.337042303024193173e-33
1.618100000000000094e+01,1.698000000000000043e+01,1.658050000000000068e+01,8.337042303024193173e-33
1.698000000000000043e+01,1.777899999999999991e+01,1.737950000000000017e+01,8.337042303024193173e-33
1.777899999999999991e+01,1.857799999999999940e+01,1.817849999999999966e+01,8.337042303024193173e-33
1.857799999999999940e+01,1.937699999999999889e+01,1.897749999999999915e+01,8.337042303024193173e-33
1.937699999999999889e+01,2.017599999999999838e+01,1.977649999999999864e+01,8.337042303024193173e-33
2.017599999999999838e+01,2.097500000000000142e+01,2.057549999999999812e+01,8.337042303024193173e-33
2.097500000000000142e+01,2.177400000000000091e+01,2.137450000000000117e+01,8.337042303024193173e-33
2.177400000000000091e+01,2.257300000000000040e+01,2.217350000000000065e+01,8.337042303024193173e-33
2.257300000000000040e+01,2.337200000000000344e+01,2.297250000000000369e+01,8.337042303024193173e-33
2.337200000000000344e+01,2.417100000000000293e+01,2.377150000000000318e+01,8.337042303024193173e-33
2.417100000000000293e+01,2.496999999999999886e+01,2.457050000000000267e+01,8.337042303024193173e-33
2.496999999999999886e+01,2.576900000000000190e+01,2.536950000000000216e+01,8.337042303024193173e-33
2.576900000000000190e+01,2.656800000000000139e+01,2.616850000000000165e+01,8.337042303024193173e-33
2.656800000000000139e+01,2.736700000000000088e+01,2.696750000000000114e+01,8.337042303024193173e-33
2.736700000000000088e+01,2.816600000000000392e+01,2.776650000000000063e+01,8.337042303024193173e-33
2.816600000000000392e+01,2.896500000000000341e+01,2.856550000000000367e+01,8.277078815307819232e-33
2.896500000000000341e+01,2.976400000000000290e+01,2.936450000000000315e+01,8.277078815307819232e-33
2.976400000000000290e+01,3.056299999999999883e+01,3.016349999999999909e+01,8.277078815307819232e-33
3.056299999999999883e+01,3.136199999999999832e+01,3.096249999999999858e+01,8.277078815307819232e-33
3.136199999999999832e+01,3.216100000000000136e+01,3.176149999999999807e+01,8.277078815307819232e-33
3.216100000000000136e+01,3.296000000000000085e+01,3.256050000000000466e+01,8.277078815307819232e-33
3.296000000000000085e+01,3.375900000000000745e+01,3.335950000000000415e+01,8.277078815307819232e-33
3.375900000000000745e+01,3.455799999999999983e+01,3.415850000000000364e+01,8.277078815307819232e-33
3.455799999999999983e+01,3.535700000000000642e+01,3.495750000000000313e+01,8.277078815307819232e-33
3.535700000000000642e+01,3.615599999999999881e+01,3.575650000000000261e+01,8.277078815307819232e-33
3.615599999999999881e+01,3.695499999999999829e+01,3.655549999999999500e+01,8.277078815307819232e-33
3.695499999999999829e+01,3.775399999999999778e+01,3.735450000000000159e+01,8.277078815307819232e-33
3.775399999999999778e+01,3.855300000000000438e+01,3.815350000000000108e+01,8.277078815307819232e-33
3.855300000000000438e+01,3.935199999999999676e+01,3.895250000000000057e+01,8.277078815307819232e-33
3.935199999999999676e+01,4.015100000000000335e+01,3.975150000000000006e+01,8.277078815307819232e-33
4.015100000000000335e+01,4.095000000000000284e+01,4.055049999999999955e+01,8.277078815307819232e-33
4.095000000000000284e+01,4.174900000000000233e+01,4.134950000000000614e+01,8.277078815307819232e-33
4.174900000000000233e+01,4.254800000000000182e+01,4.214849999999999852e+01,8.277078815307819232e-33
4.254800000000000182e+01,4.334700000000000131e+01,4.294750000000000512e+01,8.277078815307819232e-33
4.334700000000000131e+01,4.414600000000000080e+01,4.374649999999999750e+01,8.277078815307819232e-33
4.414600000000000080e+01,4.494500000000000028e+01,4.454550000000000409e+01,8.277078815307819232e-33
4.494500000000000028e+01,4.574400000000000688e+01,4.534450000000000358e+01,8.277078815329819891e-33
4.574400000000000688e+01,4.654299999999999926e+01,4.614350000000000307e+01,8.277078815329819891e-33
4.654299999999999926e+01,4.734200000000000585e+01,4.694250000000000256e+01,8.277078815329819891e-33
4.734200000000000585e+01,4.814100000000000534e+01,4.774150000000000205e+01,8.277078815352693625e-33
4.814100000000000534e+01,4.893999999999999773e+01,4.854050000000000153e+01,8.277078815352693625e-33
4.893999999999999773e+01,4.973899999999999721e+01,4.933950000000000102e+01,8.277078815352693625e-33
4.973899999999999721e+01,5.053800000000000381e+01,5.013850000000000051e+01,8.277078815352693625e-33
5.053800000000000381e+01,5.133699999999999619e+01,5.093750000000000000e+01,8.277078815352693625e-33
5.133699999999999619e+01,5.213600000000000279e+01,5.173649999999999949e+01,8.277078815352693625e-33
5.213600000000000279e+01,5.293500000000000227e+01,5.253549999999999898e+01,8.277078815295759033e-33
5.293500000000000227e+01,5.373400000000000176e+01,5.333450000000000557e+01,8.277078815295759033e-33
5.373400000000000176e+01,5.453300000000000125e+01,5.413349999999999795e+01,8.277078815295759033e-33
5.453300000000000125e+01,5.533200000000000784e+01,5.493250000000000455e+01,8.277078815295759033e-33
5.533200000000000784e+01,5.613100000000000023e+01,5.573150000000000404e+01,8.277078815296402207e-33
5.613100000000000023e+01,5.693000000000000682e+01,5.653050000000000352e+01,8.277078815296402207e-33
5.693000000000000682e+01,5.772900000000000631e+01,5.732950000000001012e+01,8.277078815296402207e-33
5.772900000000000631e+01,5.852800000000000580e+01,5.812850000000000250e+01,7.813103188578556039e-33
5.852800000000000580e+01,5.932699999999999818e+01,5.892750000000000199e+01,7.597181685486932103e-33
5.932699999999999818e+01,6.012599999999999767e+01,5.972650000000000148e+01,7.597181685490117867e-33
6.012599999999999767e+01,6.092499999999999716e+01,6.052549999999999386e+01,7.597181685490117867e-33
6.092499999999999716e+01,6.172399999999999665e+01,6.132450000000000045e+01,7.597181685490117867e-33
6.172399999999999665e+01,6.252300000000000324e+01,6.212349999999999994e+01,7.597181685490117867e-33
6.252300000000000324e+01,6.332199999999999562e+01,6.292249999999999943e+01,7.597181685490117867e-33
6.332199999999999562e+01,6.412100000000000932e+01,6.372150000000000603e+01,7.597181685490117867e-33
6.412100000000000932e+01,6.492000000000000171e+01,6.452049999999999841e+01,7.597181685490117867e-33
6.492000000000000171e+01,6.571899999999999409e+01,6.531950000000000500e+01,7.597181685490117867e-33
6.571899999999999409e+01,6.651800000000001489e+01,6.611850000000001160e+01,7.597181685490117867e-33
6.651800000000001489e+01,6.731700000000000728e+01,6.691750000000001819e+01,7.597181685491558851e-33
6.731700000000000728e+01,6.811599999999999966e+01,6.771649999999999636e+01,7.597181685491558851e-33
6.811599999999999966e+01,6.891500000000000625e+01,6.851550000000000296e+01,7.597181685491558851e-33
6.891500000000000625e+01,6.971400000000001285e+01,6.931450000000000955e+01,7.597181685491558851e-33
6.971400000000001285e+01,7.051300000000000523e+01,7.011350000000001614e+01,7.597181685491558851e-33
7.051300000000000523e+01,7.131199999999999761e+01,7.091249999999999432e+01,7.597181685491558851e-33
7.131199999999999761e+01,7.211100000000000421e+01,7.171150000000000091e+01,7.597181685491558851e-33
7.211100000000000421e+01,7.290999999999999659e+01,7.251050000000000750e+01,7.597181685491558851e-33
7.290999999999999659e+01,7.370900000000000318e+01,7.330949999999999989e+01,7.597181685491560219e-33
7.370900000000000318e+01,7.450799999999999557e+01,7.410849999999999227e+01,7.597181685491560219e-33
7.450799999999999557e+01,7.530700000000000216e+01,7.490749999999999886e+01,7.597181685491558851e-33
7.530700000000000216e+01,7.610600000000000875e+01,7.570650000000000546e+01,7.597181685491560219e-33
7.610600000000000875e+01,7.690500000000000114e+01,7.650550000000001205e+01,7.597181685491560219e-33
7.690500000000000114e+01,7.770399999999999352e+01,7.730449999999999022e+01,7.597181685491560219e-33
7.770399999999999352e+01,7.850300000000001432e+01,7.810349999999999682e+01,7.597181685491560219e-33
7.850300000000001432e+01,7.930200000000000671e+01,7.890250000000000341e+01,7.597181685491560219e-33
7.930200000000000671e+01,8.010099999999999909e+01,7.970150000000001000e+01,7.597181685491560219e-33
8.010099999999999909e+01,8.090000000000000568e+01,8.050050000000000239e+01,7.597181685491560219e-33
8.090000000000000568e+01,8.169900000000001228e+01,8.129950000000000898e+01,7.597181685491560219e-33
8.169900000000001228e+01,8.249800000000000466e+01,8.209850000000000136e+01,7.597181685491560219e-33
8.249800000000000466e+01,8.329700000000001125e+01,8.289750000000000796e+01,7.597181685491558851e-33
