vmin_mid,median,lo68,hi68,lo95,hi95
4.294750000000000512e+01,8.482803436215177355e-31,7.745152184806535869e-31,1.610111020462406686e-30,7.531853655368331637e-31,3.262190302258127262e-30
4.374649999999999750e+01,8.482803436215177355e-31,7.745152184806535869e-31,1.610101796571426319e-30,7.531853655368331637e-31,3.262075357581180568e-30
4.454550000000000409e+01,8.482803436215177355e-31,7.745152184806535869e-31,1.610077179047792502e-30,7.531853655368331637e-31,3.261768569506012029e-30
4.534450000000000358e+01,8.482803436215177355e-31,7.745152184806535869e-31,1.610023236822454562e-30,7.531853655368331637e-31,3.261096291484659027e-30
4.614350000000000307e+01,8.482803436215177355e-31,7.745152184806535869e-31,1.609882474546565993e-30,7.531853655368331637e-31,3.259341892836742724e-30
4.694250000000000256e+01,8.482803436215177355e-31,7.745152184806534993e-31,1.609512233698376115e-30,7.531853655368332513e-31,3.254727136918996130e-30
4.774150000000000205e+01,8.482803436215179107e-31,7.745152184806534993e-31,1.608693028076066604e-30,7.531853655368332513e-31,3.244515754953201945e-30
4.854050000000000153e+01,8.482803436215179107e-31,7.745152184806534993e-31,1.606470719314444421e-30,7.531853655368332513e-31,3.216813326982039952e-30
4.933950000000000102e+01,8.482803436215179107e-31,7.745152184806534117e-31,1.582345621133091294e-30,7.531853655368332513e-31,3.148460997070138789e-30
5.013850000000000051e+01,8.482803436215179107e-31,7.745152184806534117e-31,1.556717378571612176e-30,7.531853655368332513e-31,2.981821339138617267e-30
5.093750000000000000e+01,8.478893280929044591e-31,7.744610500584744118e-31,1.527910713527037593e-30,7.531376889418622067e-31,2.866014260903760083e-30
5.173649999999999949e+01,8.478136341658621422e-31,7.744610500584744118e-31,1.487728407707408421e-30,7.531376889418622067e-31,2.690700123167195257e-30
5.253549999999999898e+01,8.471544247958851932e-31,7.744610500584744118e-31,1.472457591256144252e-30,7.531376889418622067e-31,2.479236812079537611e-30
5.333450000000000557e+01,8.460405983765847490e-31,7.744610500584744118e-31,1.437652391049937735e-30,7.531376889418622067e-31,2.373801276573030558e-30
5.413349999999999795e+01,8.432567138857542399e-31,7.744610500584744118e-31,1.396910828341980249e-30,7.531376889418622067e-31,2.286883172295406121e-30
5.493250000000000455e+01,8.407594848415320009e-31,7.742705475359397578e-31,1.374529208359873476e-30,7.528595104148461566e-31,2.194627942670169137e-30
5.573150000000000404e+01,8.392548815376712647e-31,7.741321777753602525e-31,1.351790464466911826e-30,7.528595104148461566e-31,2.146297202789311487e-30
5.653050000000000352e+01,8.363622870874020858e-31,7.741321777753694485e-31,1.283377570859392690e-30,7.528595104148431789e-31,2.094183688353231425e-30
5.732950000000001012e+01,8.357884821236670899e-31,7.741321777753694485e-31,1.234534349082616543e-30,7.528595104148431789e-31,2.084465744162237056e-30
5.812850000000000250e+01,8.346465145403994431e-31,7.740705342575127511e-31,1.207782346988945503e-30,7.528595104148431789e-31,2.057805230584429675e-30
5.892750000000000199e+01,7.916428279531342366e-31,7.627376634261704309e-31,8.859207673837096529e-31,7.473124347544220113e-31,1.223211684133203436e-30
5.972650000000000148e+01,7.916428279126475710e-31,7.627376634922194954e-31,8.859207673837096529e-31,7.473064684815689227e-31,1.223211684133203436e-30
6.052549999999999386e+01,7.916428278666933892e-31,7.627376635939776736e-31,8.859207673837096529e-31,7.473064684815689227e-31,1.215051001059618277e-30
6.132450000000000045e+01,7.915765650287726668e-31,7.625903880472504070e-31,8.831266565562100839e-31,7.466630529139951589e-31,1.215051001059618277e-30
6.212349999999999994e+01,7.914309780001838888e-31,7.625903880472504070e-31,8.815828135250297899e-31,7.466630529139951589e-31,1.201104245569503145e-30
6.292249999999999943e+01,7.914309779718496339e-31,7.622343918845427002e-31,8.815828135061338056e-31,7.466630529139951589e-31,1.189187425777359139e-30
6.372150000000000603e+01,7.914309779416588336e-31,7.622343918845427002e-31,8.784206989492441077e-31,7.466630529139951589e-31,1.189187425777358963e-30
6.452049999999999841e+01,7.910156011465849827e-31,7.621986126758954556e-31,8.743585859705486682e-31,7.466630529140105731e-31,1.158544171707549900e-30
6.531950000000000500e+01,7.910156011465849827e-31,7.621986126758954556e-31,8.711427487512056658e-31,7.466630529140105731e-31,1.117351860350995694e-30
6.611850000000001160e+01,7.901244196433724965e-31,7.621223547495746751e-31,8.651079908467597408e-31,7.466630529140105731e-31,1.078712806841123121e-30
6.691750000000001819e+01,7.900140927457399210e-31,7.621223547495731863e-31,8.651079908467597408e-31,7.466630529140105731e-31,1.053719126082217599e-30
