vmin_mid,best_fit,lo68,hi68,lo95,hi95
4.294750000000000512e+01,8.370839811068568484e-31,7.807501234764164262e-31,9.938659823967867977e-28,7.709198171801783776e-31,1.841823141093482576e-27
4.374649999999999750e+01,8.370839811068568484e-31,7.709198171801783776e-31,4.013539482040173350e-28,7.516289618779282689e-31,7.868039723319993607e-28
4.454550000000000409e+01,8.370839811068568484e-31,7.709198171801783776e-31,1.724066162565084727e-28,7.516289618779282689e-31,3.159795906326481457e-28
4.534450000000000358e+01,8.370839811068568484e-31,7.709198171801783776e-31,1.034882850284614386e-28,7.516289618779282689e-31,1.821612314885245179e-28
4.614350000000000307e+01,8.370839811068568484e-31,7.709198171801783776e-31,7.039943633113484713e-29,7.516289618779282689e-31,1.265960070817141233e-28
4.694250000000000256e+01,8.370839811068568484e-31,7.709198171801783776e-31,4.751411744667493868e-29,7.516289618779282689e-31,8.564564367221589424e-29
4.774150000000000205e+01,8.370839811068568484e-31,7.709198171801783776e-31,3.110412052960892423e-29,7.516289618779282689e-31,6.465581943382989573e-29
4.933950000000000102e+01,8.370839811068566732e-31,7.709198171801782024e-31,2.004171550648257969e-29,7.516289618779280937e-31,3.776395620199811679e-29
5.013850000000000051e+01,8.370839811068566732e-31,7.709198171801782024e-31,1.544471556170485539e-29,7.516289618779280937e-31,2.770760296989913640e-29
5.173649999999999949e+01,8.370839811068566732e-31,7.709198171801782024e-31,9.474883421780734907e-30,7.516289618779280937e-31,1.831142620518846545e-29
5.413349999999999795e+01,8.370839811068566732e-31,7.709198171801782024e-31,5.667119942897718611e-30,7.516289618779280937e-31,1.102204364325086705e-29
5.573150000000000404e+01,8.370839811068566732e-31,7.709198171801782024e-31,4.251374764287456264e-30,7.516289618779280937e-31,8.268545340127705539e-30
5.892750000000000199e+01,8.370839811068566732e-31,7.709198171801782024e-31,2.639238255997706441e-30,7.516289618779280937e-31,4.594395373678588642e-30
6.132450000000000045e+01,8.370839811068557974e-31,7.709198171801774142e-31,2.071245861561095814e-30,7.516289618779273930e-31,3.268393364535724475e-30
6.531950000000000500e+01,8.370839811068557974e-31,7.709198171801774142e-31,1.494665853862267357e-30,7.516289618779273930e-31,2.144743649783050431e-30
7.011350000000001614e+01,8.370839811068559726e-31,7.709198171801775894e-31,1.141819924167590065e-30,7.516289618779275682e-31,1.547626156859213560e-30
7.490749999999999886e+01,8.370839811068559726e-31,7.709198171801775894e-31,9.932675484577157471e-31,7.516289618779275682e-31,1.232011404482650847e-30
8.129950000000000898e+01,8.370839811068559726e-31,7.612132827783934938e-31,9.441800923455639291e-31,7.421653157071348496e-31,1.044907037139815569e-30
8.849049999999999727e+01,7.872795556052382592e-31,7.531434575932800382e-31,9.224085871094984006e-31,7.342974231050101628e-31,9.827376540648538969e-31
9.727949999999999875e+01,7.872795556052383468e-31,7.436607426368177309e-31,8.548821051110107738e-31,7.250519957081888939e-31,8.993270030239209635e-31
1.068675000000000068e+02,7.872795556052382592e-31,7.250519957081888063e-31,8.229958982670799537e-31,7.159229760843765309e-31,8.441184142863523822e-31
1.188524999999999920e+02,7.203219452594093634e-31,7.067748449685802256e-31,7.821749422257256282e-31,6.890891000159732547e-31,8.022497722240577259e-31
1.332345000000000255e+02,7.203219452594105020e-31,6.804128837530886345e-31,7.435197196644465004e-31,6.718459084122239326e-31,7.530006363806998788e-31
1.508125000000000000e+02,6.308294117184891328e-31,0.000000000000000000e+00,7.297993050477948991e-31,0.000000000000000000e+00,7.297993050477948991e-31
