vmin_mid,best_fit,lo68,hi68,lo95,hi95
4.595499999999999474e+00,6.296448401273348465e-19,6.256809588225600711e-19,6.336592664647829959e-19,6.256809588225600711e-19,6.336592664647829959e-19
5.394499999999999851e+00,6.296448401273348465e-19,6.256809588225600711e-19,6.336592664647829959e-19,6.256809588225600711e-19,6.336592664647829959e-19
6.193500000000000227e+00,6.296448401273348465e-19,6.256809588225600711e-19,6.336592664647829959e-19,6.256809588225600711e-19,6.336592664647829959e-19
6.992500000000000604e+00,3.003665882952878804e-20,2.984756532346878551e-20,3.022816354235993550e-20,2.984756532346878551e-20,3.022816354235993550e-20
7.791500000000000981e+00,4.057184689722618490e-25,4.031642991424324272e-25,4.083052080410708392e-25,4.031642991424324272e-25,4.083052080410708392e-25
8.590500000000000469e+00,4.057184689722618490e-25,4.031642991424324272e-25,4.083052080410708392e-25,4.031642991424324272e-25,4.083052080410708392e-25
9.389499999999999957e+00,4.057184689722618490e-25,4.031642991424324272e-25,4.083052080410708392e-25,4.031642991424324272e-25,4.083052080410708392e-25
1.098750000000000071e+01,1.256794779498645506e-27,1.248882723347457616e-27,1.264807725435860287e-27,1.248882723347457616e-27,1.264807725435860287e-27
1.178650000000000020e+01,8.167072693939295131e-33,8.115657507626173974e-33,8.219143495815115144e-33,8.115657507626173974e-33,8.219143495815115144e-33
1.338449999999999918e+01,8.167072693939295131e-33,8.115657507626173974e-33,8.219143495815115144e-33,8.115657507626173974e-33,8.219143495815115144e-33
1.498250000000000171e+01,8.167072693939295131e-33,8.115657507626173974e-33,8.219143495815115144e-33,8.115657507626173974e-33,8.219143495815115144e-33
1.658050000000000068e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
1.817849999999999966e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
2.057549999999999812e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
2.377150000000000318e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
2.696750000000000114e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
3.096249999999999858e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
3.495750000000000313e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
3.975150000000000006e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
4.534450000000000358e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
5.253549999999999898e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
6.052549999999999386e+01,8.167072693939292394e-33,8.115657507626171237e-33,8.219143495815112407e-33,8.115657507626171237e-33,8.219143495815112407e-33
