vmin_mid,best_fit,lo68,hi68,lo95,hi95
4.595499999999999474e+00,8.280960522674000944e-33,7.723670619084189813e-33,9.492670583009805827e-32,7.249523892343329198e-33,1.881665445955930909e-31
5.394499999999999851e+00,8.280960522674000944e-33,7.822158225998447524e-33,3.010907157854572855e-32,7.249523892343329198e-33,6.044414178396066832e-32
6.193500000000000227e+00,8.280960522674000944e-33,7.822158225998447524e-33,1.651942229645809898e-32,7.249523892343329198e-33,3.073509755196805334e-32
6.992500000000000604e+00,8.280960522674000944e-33,7.822158225998447524e-33,1.270052208527560355e-32,7.249523892343329198e-33,2.042577380586820912e-32
7.791500000000000981e+00,8.280960522674000944e-33,7.822158225998447524e-33,1.218783065292303006e-32,7.249523892343329198e-33,1.715945187302856186e-32
8.590500000000000469e+00,8.280960522674000944e-33,7.822158225998447524e-33,1.222680591808033824e-32,7.249523892343329198e-33,1.721432580471918100e-32
9.389499999999999957e+00,8.280960522674000944e-33,7.822158225998447524e-33,1.173323733899767060e-32,7.249523892343329198e-33,1.570302955491067007e-32
1.098750000000000071e+01,8.280960522674000944e-33,7.723670619084189813e-33,1.115337869584979359e-32,7.249523892343329198e-33,1.418928896856189212e-32
1.178650000000000020e+01,8.280960522674000944e-33,7.723670619084189813e-33,1.087428583851499380e-32,7.068117845565425924e-33,1.348805182395928599e-32
1.338449999999999918e+01,8.280960522674000944e-33,7.626423054679360825e-33,1.020672668299681854e-32,7.068117845565425924e-33,1.266003675989901672e-32
1.498250000000000171e+01,8.280960522674000944e-33,7.530399919596943080e-33,1.007821533658923102e-32,6.891251152584583033e-33,1.250063615869604053e-32
1.658050000000000068e+01,8.280960522674000944e-33,7.341965465092489802e-33,1.007821533658923102e-32,6.468205642451915966e-33,1.218783065292303006e-32
1.817849999999999966e+01,8.280960522674000944e-33,7.249523892343329198e-33,1.020672668299681854e-32,6.226948348854082481e-33,1.250063615869604053e-32
2.057549999999999812e+01,8.280960522674000944e-33,6.979124246626965236e-33,9.826026471508308797e-33,5.919211471452189452e-33,1.250063615869604053e-32
2.377150000000000318e+01,8.235154235526936623e-33,7.301353246570615305e-33,9.407200435152404776e-33,6.114534991990946725e-33,1.123311805857798602e-32
2.696750000000000114e+01,8.235154235526936623e-33,7.394455716102859914e-33,9.288755802372983314e-33,6.114534991990946725e-33,1.081413452415062832e-32
3.096249999999999858e+01,8.235154235526936623e-33,7.209423016100419794e-33,9.288755802372983314e-33,6.114534991990946725e-33,1.081413452415062832e-32
3.495750000000000313e+01,8.165284873623482234e-33,7.331719076602092620e-33,9.093986339191592286e-33,6.062657559461060612e-33,1.019248225658177753e-32
3.975150000000000006e+01,8.165284873623482234e-33,6.969384236449351591e-33,9.093986339191592286e-33,5.409253961598316074e-33,1.019248225658177753e-32
4.534450000000000358e+01,8.165284873623482234e-33,6.881633777396700447e-33,9.093986339191592286e-33,4.887812717734729098e-33,9.812313347274386172e-33
5.253549999999999898e+01,8.165284873623482234e-33,5.324388066359534602e-33,8.866426000644759977e-33,8.267048397045017857e-34,9.812313347274386172e-33
6.052549999999999386e+01,6.222839121599129878e-33,0.000000000000000000e+00,8.817098950804493849e-33,0.000000000000000000e+00,9.513554836383091196e-33
