material,q,mass,nbins,background,alternative,sigma_asimov,q_asimov,chi2_pearson,sigma_mc,p_value_mc
Al,0,1,5,none,mix5,2.51339,6.31711,6.35664,2.51867,0.00589
Al,0,1,5,none,mix25,12.4233,154.338,158.916,inf,0
Al,0,1,5,none,Disk,48.1335,2316.83,2542.66,inf,0
Al,0,1,5,none,Bound,0,0,0,-inf,1
Al,0,1,5,c,mix5,2.5111,6.30565,6.34496,2.50055,0.0062
Al,0,1,5,c,mix25,12.4125,154.07,158.624,inf,0
Al,0,1,5,c,Disk,48.0969,2313.31,2537.98,inf,0
Al,0,1,5,c,Bound,0,0,0,-inf,1
Al,0,1,5,b,mix5,2.49544,6.22721,6.26506,2.4786,0.006595
Al,0,1,5,b,mix25,12.3385,152.239,156.626,inf,0
Al,0,1,5,b,Disk,47.845,2289.14,2506.02,inf,0
Al,0,1,5,b,Bound,0,0,0,-inf,1
Al,0,2,5,none,mix5,3.70021,13.6916,14.0374,3.69487,0.00011
Al,0,2,5,none,mix25,17.6947,313.101,350.935,inf,0
Al,0,2,5,none,Disk,62.6456,3924.47,5614.96,inf,0
Al,0,2,5,none,Bound,0,0,0,-inf,1
Al,0,2,5,c,mix5,3.68092,13.5492,13.8876,3.62407,0.000145
Al,0,2,5,c,mix25,17.6101,310.116,347.189,inf,0
Al,0,2,5,c,Disk,62.4021,3894.03,5555.03,inf,0
Al,0,2,5,c,Bound,0,0,0,-inf,1
Al,0,2,5,b,mix5,3.55789,12.6586,12.9531,3.59855,0.00016
Al,0,2,5,b,mix25,17.0674,291.297,323.827,inf,0
Al,0,2,5,b,Disk,60.8215,3699.25,5181.23,inf,0
Al,0,2,5,b,Bound,0,0,0,-inf,1
Al,0,3,5,none,mix5,1.24714,1.55536,1.59726,1.25646,0.104475
Al,0,3,5,none,mix25,5.9483,35.3822,39.9315,inf,0
Al,0,3,5,none,Disk,20.9447,438.679,638.903,inf,0
Al,0,3,5,none,Bound,1.17819e+08,1.38813e+16,3.53594e+27,inf,0
Al,0,3,5,c,mix5,1.18905,1.41384,1.4484,1.19925,0.115215
Al,0,3,5,c,mix25,5.6933,32.4137,36.21,inf,0
Al,0,3,5,c,Disk,20.2081,408.369,579.36,inf,0
Al,0,3,5,c,Bound,1.17262e+08,1.37504e+16,2.68135e+27,inf,0
Al,0,3,5,b,mix5,0.949668,0.90187,0.91623,0.958799,0.16883
Al,0,3,5,b,mix25,4.61124,21.2635,22.9058,inf,0
Al,0,3,5,b,Disk,16.9003,285.618,366.492,inf,0
Al,0,3,5,b,Bound,1.1525e+08,1.32826e+16,9.97659e+26,inf,0
Al,0,1,10,none,mix5,2.62268,6.87847,6.92122,2.6248,0.004335
Al,0,1,10,none,mix25,12.9653,168.1,173.03,inf,0
Al,0,1,10,none,Disk,50.2951,2529.6,2768.49,inf,0
Al,0,1,10,none,Bound,0,0,0,-inf,1
Al,0,1,10,c,mix5,2.62037,6.86632,6.90883,2.62206,0.00437
Al,0,1,10,c,mix25,12.9544,167.817,172.721,inf,0
Al,0,1,10,c,Disk,50.2582,2525.89,2763.53,inf,0
Al,0,1,10,c,Bound,0,0,0,-inf,1
Al,0,1,10,b,mix5,2.60447,6.78329,6.82419,2.6064,0.004575
Al,0,1,10,b,mix25,12.8795,165.882,170.605,inf,0
Al,0,1,10,b,Disk,50.0045,2500.45,2729.67,inf,0
Al,0,1,10,b,Bound,0,0,0,-inf,1
Al,0,2,10,none,mix5,3.7711,14.2212,14.5804,3.79107,7.5e-05
Al,0,2,10,none,mix25,18.0337,325.213,364.51,inf,0
Al,0,2,10,none,Disk,63.8464,4076.36,5832.16,inf,0
Al,0,2,10,none,Bound,0,0,0,-inf,1
Al,0,2,10,c,mix5,3.75214,14.0785,14.4303,3.70667,0.000105
Al,0,2,10,c,mix25,17.9506,322.224,360.757,inf,0
Al,0,2,10,c,Disk,63.6072,4045.88,5772.12,inf,0
Al,0,2,10,c,Bound,0,0,0,-inf,1
Al,0,2,10,b,mix5,3.63106,13.1846,13.4922,3.6425,0.000135
Al,0,2,10,b,mix25,17.4166,303.34,337.305,inf,0
Al,0,2,10,b,Disk,62.0527,3850.54,5396.88,inf,0
Al,0,2,10,b,Bound,0,0,0,-inf,1
Al,0,3,10,none,mix5,1.27492,1.62541,1.66919,1.28038,0.100205
Al,0,3,10,none,mix25,6.08077,36.9758,41.7298,inf,0
Al,0,3,10,none,Disk,21.4112,458.44,667.677,inf,0
Al,0,3,10,none,Bound,1.19855e+08,1.43652e+16,8.44501e+27,inf,0
Al,0,3,10,c,mix5,1.21798,1.48349,1.5199,1.22228,0.1108
Al,0,3,10,c,mix25,5.83091,33.9996,37.9974,inf,0
Al,0,3,10,c,Disk,20.6897,428.064,607.959,inf,0
Al,0,3,10,c,Bound,1.19183e+08,1.42046e+16,6.00159e+27,inf,0
Al,0,3,10,b,mix5,0.979939,0.960281,0.975838,0.981797,0.1631
Al,0,3,10,b,mix25,4.75597,22.6192,24.3959,inf,0
Al,0,3,10,b,Disk,17.4103,303.118,390.335,inf,0
Al,0,3,10,b,Bound,1.16968e+08,1.36816e+16,1.98646e+27,inf,0
Al,2,1,5,none,mix5,3.61861,13.0944,13.0999,3.6425,0.000135
Al,2,1,5,none,mix25,18.109,327.935,327.498,inf,0
